LinkType 总数: 118
OEE 输入                                 oee_current            -> process_capacity       
alarm_for_equip                        EquipmentAlarm         -> Equipment              N:1
alt_for_material                       MaterialAlternative    -> Material               N:N
att_for_line                           OperatorAttendance     -> Line                   N:1
base_data_health                       Base                   -> DataSourceHealth       N:N
base_dispatches_transfer               Base                   -> InterBaseTransfer      1:N
base_energy_meter                      Base                   -> EnergyMeter            N:N
base_finance                           Base                   -> FinanceAccount         N:N
base_has_shipment                      Base                   -> Shipment               N:N
base_maint_plan                        Base                   -> MaintPlan              N:N
batch_replenishes_material             MaterialBatch          -> Material               N:1
bom_belongs_to_version                 BOMHeader              -> ProductVersion         N:1
capability_belongs_to_operation        ProcessCapabilityWindow -> Operation              N:1
caused_by                              CausalFactor           -> CausalFactor           N:N
cert_for_operator                      OperatorSkillCert      -> OperatorAttendance     N:1
change_affects_model                   EngineeringChange      -> Model                  N:1
char_belongs_to_standard               InspectionCharacteristic -> QualityStandard        N:1
checkpoint_for_lot                     WIPQualityCheckpoint   -> WIPLot                 N:1
custloc_of_customer                    CustomerLocation       -> Customer               N:N
customer_has_invoice                   Customer               -> ARInvoice              N:N
customer_has_location                  Customer               -> CustomerLocation       1:N
customer_has_overdue_record            Customer               -> OverdueRecord          1:N
defect_for_qlot                        DefectRecord           -> QualityLot             N:1
defect_for_wiplot                      DefectRecord           -> WIPLot                 N:1
defect_raises_exception                DefectRecord           -> ExceptionEvent         1:N
detail_belongs_to_bom                  BOMDetail              -> BOMHeader              N:1
detail_uses_material                   BOMDetail              -> Material               N:1
dt_for_equip                           EquipmentDowntime      -> Equipment              N:1
equip_used_in                          Equipment              -> Process                N:N
equipment_has_maintenance_order        Equipment              -> MaintenanceOrder       1:N
exc_sourced_from                       ExceptionEvent         -> EquipmentDowntime      N:1
fg_at_warehouse                        FinishedGoodsInventory -> Warehouse              N:1
fg_of_model                            FinishedGoodsInventory -> Model                  N:1
line_belongs_to_base                   Base                   -> Line                   1:N
line_belongs_to_workshop               Workshop               -> Line                   1:N
line_has_process                       Line                   -> Process                1:N
line_of_order                          OrderLine              -> Order                  N:1
line_runs_work_order                   Line                   -> WorkOrder              1:N
maint_for_equip                        MaintenanceOrder       -> Equipment              N:1
material_carbon                        Material               -> CarbonFactor           N:N
material_has_alternative               Material               -> MaterialAlternative    1:N
material_has_balance                   Material               -> MaterialBalance        1:N
material_has_batch                     Material               -> MaterialBatch          N:N
material_has_outsource                 Material               -> Outsource              1:N
material_supplied_by                   Material               -> Supplier               N:1
material_supplied_by_po                Material               -> PurchaseOrder          N:N
material_used_by_model                 Material               -> Model                  N:N
metric_affects_ksf                     Metric                 -> KSF                    N:N
metric_ownedby                         Metric                 -> Principal              N:N
model_belongs_to_series                Model                  -> ProductSeries          N:1
model_certified_on                     Model                  -> Line                   N:N
model_changeover                       Model                  -> ChangeoverMatrix       N:N
model_demanded_by_order                Model                  -> Order                  1:N
model_has_cert                         Model                  -> Certification          N:N
model_in_segment                       Model                  -> Segment                N:N
model_producible_at                    Model                  -> Base                   N:N
model_stocked_as_finished_goods        Model                  -> FinishedGoodsInventory 1:N
model_uses_material                    Model                  -> Material               N:N
move_for_lot                           WIPMove                -> WIPLot                 N:1
oee_for_equip                          EquipmentOEE           -> Equipment              N:1
operation_belongs_to_routing           Operation              -> Routing                N:1
order_for_model                        Order                  -> Model                  1:N
order_has_line                         Order                  -> OrderLine              1:N
order_has_promise                      Order                  -> OrderPromise           1:N
order_of_customer                      Order                  -> Customer               N:N
order_to_plantarget                    Order                  -> PlanTarget             N:N
orderline_for_model                    OrderLine              -> Model                  N:1
plantarget_ownedby                     PlanTarget             -> Principal              N:N
po_customs_cleared_by                  PurchaseOrder          -> CustomsClearance       N:1
po_from_supplier                       PurchaseOrder          -> Supplier               N:1
po_inspected_by                        PurchaseOrder          -> IncomingInspection     N:1
po_replenishes_material                PurchaseOrder          -> Material               N:1
process_instance_carries_CustomsClearance ProcessInstance        -> CustomsClearance       N:1
process_instance_carries_EngineeringChange ProcessInstance        -> EngineeringChange      N:1
process_instance_carries_IncomingInspection ProcessInstance        -> IncomingInspection     N:1
process_instance_carries_InterBaseTransfer ProcessInstance        -> InterBaseTransfer      N:1
process_instance_carries_MaintenanceOrder ProcessInstance        -> MaintenanceOrder       N:1
process_instance_carries_PurchaseOrder ProcessInstance        -> PurchaseOrder          N:1
process_instance_carries_QualityLot    ProcessInstance        -> QualityLot             N:1
process_instance_carries_WIPLot        ProcessInstance        -> WIPLot                 N:1
process_instance_carries_WorkOrder     ProcessInstance        -> WorkOrder              N:1
process_instance_of                    ProcessInstance        -> ProcessDefinition      N:1
process_step_of                        ProcessStepTemplate    -> ProcessDefinition      N:1
process_uses_equipment                 Process                -> Equipment              N:N
product_equip_capability               ProductEquipmentCapability -> Equipment              N:N
product_line_capability                ProductLineCapability  -> Line                   N:N
promise_for_order                      OrderPromise           -> Order                  N:1
qlot_for_wo                            QualityLot             -> WorkOrder              N:1
result_for_char                        InspectionResult       -> InspectionCharacteristic N:1
result_for_qlot                        InspectionResult       -> QualityLot             N:1
routing_belongs_to_model               Routing                -> Model                  N:1
scenario_to_capex                      AnnualScenario         -> CapexProject           N:N
scenario_to_finance                    AnnualScenario         -> FinanceMetric          N:N
scenario_to_target                     AnnualScenario         -> PlanTarget             N:N
sched_for_wo                           ProductionSchedule     -> WorkOrder              N:1
series_belongs_to_platform             ProductSeries          -> ProductPlatform        N:1
shift_for_line                         ShiftPlan              -> Line                   N:1
spare_for_maint                        SparePartConsumption   -> MaintenanceOrder       N:1
standard_belongs_to_model              QualityStandard        -> Model                  N:1
supplier_supplies_material             Supplier               -> Material               1:N
transfer_from_base                     InterBaseTransfer      -> Base                   N:1
transfer_of_model                      InterBaseTransfer      -> Model                  N:1
transfer_to_base                       InterBaseTransfer      -> Base                   N:1
txn_for_fg                             InventoryTxn           -> FinishedGoodsInventory N:1
txn_from_wo                            InventoryTxn           -> WorkOrder              N:1
version_belongs_to_model               ProductVersion         -> Model                  N:1
warehouse_of_base                      Base                   -> Warehouse              1:N
wip_for_wo                             WIPLot                 -> WorkOrder              N:1
wip_lot_found_defect                   WIPLot                 -> DefectRecord           1:N
wip_on_line                            WIPLot                 -> Line                   N:1
wo_for_model                           WorkOrder              -> Model                  N:1
wo_on_line                             WorkOrder              -> Line                   N:1
work_order_sampled_by_quality_lot      WorkOrder              -> QualityLot             1:N
work_order_yields_wip_lot              WorkOrder              -> WIPLot                 1:N
workshop_belongs_to_base               Base                   -> Workshop               1:N
产线产出                                   Line                   -> output:line            
产能输入                                   process_capacity       -> capacity_forecast      
设备节拍                                   Equipment              -> process_capacity       
